Authors	Code	Title	Year	Method	Decision	Source title	Abstract	DOI	Link
John-Mariadoss B.; Pomirleanu N.; Chennamaneni P.R.; Ganesh Pillai R.; Zailani S.	JPCGZ_2024	Interactive effects of organizational resources on sustainable product design practices: a resource orchestration perspective	2024	Field Survey	Yes	European Journal of Marketing	Purpose: The purpose of this study is to investigate the interactive effects of a firm’s strategic sustainability orientation (SSO) and customer relationship capital (CRC) on sustainable product design practices (SPDP). Design/methodology/approach: The authors examine the interactive effects of two firm resources, namely, SSO and CRC, as they relate to SPDP, using survey data from 132 manufacturers in Malaysia. Findings: The findings show that the effect of SSO on SPDP is stronger when CRC is low, than otherwise. The authors also find that the interactive effects of the firm-level resources stated above are stronger when customer pressures (CPs) are higher than when they are low. Research limitations/implications: The authors contribute to the literature by studying the effects of firm-level strategic resources and their interactions as they relate to SPDP. An important limitation of this research is the usage of single-source data and single-period data. Practical implications: Managerially, this research provides new insights into how organizations should respond to CPs while understanding the counterintuitive but disabling effects of customer relationship assets. Social implications: The findings are important to society because most of the environmental impact arising from the production, consumption and disposal of products is a direct consequence of decisions made at the product design stage and an unintended consequence of the marketing decision-making processes that underlie marketing strategy formulation that fails to recognize ecosystems impact as a standard decision influence. Originality/value: To the best of the authors’ knowledge, this research is the first to study the effects of firm-level strategic resources and their interactions as they relate to SPDP. © 2023, Emerald Publishing Limited.	10.1108/EJM-04-2022-0253	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178908958&doi=10.1108%2fEJM-04-2022-0253&partnerID=40&md5=2cdc89925aaff355fe87b524ebd1458a
Karmarkar U.R.; Bollinger B.	KB_2014	BYOB: How bringing your own shopping bags leads to treating yourself and the environment	2015	Field Survey	Yes	Journal of Marketing	As concerns about pollution and climate change become more mainstream, the belief that shopping with reusable grocery bags is an important environmental and socially conscious choice has gained prevalence. In parallel, firms have joined policy makers in using a variety of initiatives to reduce the use of disposable plastic bags. However, little is known about how these initiatives might alter other elements of consumers' in-store behavior. Using scanner panel data from a single California location of a major grocery chain, and controlling for consumer heterogeneity, the authors demonstrate that bringing one's own bags increases purchases of not only environmentally friendly organic foods but also indulgent foods. They use experimental methods to further explore the expression of these effects and to consider the effects of potential moderators, including competing goals and store policies. The findings have implications for decisions related to product pricing, placement and assortment, store layout, and the choice of strategies employed to increase the use of reusable bags. © 2015, American Marketing Association.	10.1509/jm.13.0228	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937554414&doi=10.1509%2fjm.13.0228&partnerID=40&md5=66877ee277b6c773c1faf4d399d2533d
Kapoor P.S.; Balaji M.S.; Jiang Y.	KBJ_2023	Greenfluencers as agents of social change: the effectiveness of sponsored messages in driving sustainable consumption	2023	Experiments	Yes	European Journal of Marketing	Purpose: This study aims to examine the role of message appeals (concrete vs abstract) posted by greenfluencers in determining their behavioral intention toward the sponsored sustainable product. This study examined the underlying mechanism of message authenticity and product sustainability image in this relationship. This study also investigated the boundary condition of product type (utilitarian vs hedonic) in the effect of sustainability message appeal on purchase intention. Design/methodology/approach: Four studies were carried out. One field experiment on Facebook and three scenario-based online experiments were conducted to test the proposed relationships. Findings: This study found that a concrete message appeal results in a higher purchase intention of the promoted product than an abstract message appeal. This effect is a result of message authenticity and product sustainability image. Furthermore, product type moderates the impact of message appeal on behavioral intention via message authenticity and product sustainability image. Research limitations/implications: This study contributes to the literature on influencer marketing, sustainability communication and the persuasion process. Practical implications: This study’s findings provide insights for greenfluencers and firms that leverage greenfluencers to promote their sustainable products on social media. Specifically, it lays out how the sustainability message should be framed to be persuasive. Originality/value: This study findings offer novel insights for greenfluencers and firms in developing effective message strategies to promote sustainable products on social media. © 2022, Emerald Publishing Limited.	10.1108/EJM-10-2021-0776	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142358826&doi=10.1108%2fEJM-10-2021-0776&partnerID=40&md5=e30f4e789e247d17bfadcf062215d47d
Kumar V.; Jones E.; Venkatesan R.; Leone R.P.	KJVL_2011	Is market orientation a source of sustainable competitive advantage or simply the cost of competing?	2011	Field Survey	Yes	Journal of Marketing	The authors use panel data constructed from the responses of repeatedly surveyed top managers at 261 companies regarding their firm's market orientation, along with objective performance measures, to investigate the influence of market orientation on performance for a nine-year period from 1997 to 2005. The authors measure market orientation in 1997, 2001, and 2005 and estimate it in the interval between these measurement periods. The analyses indicate that market orientation has a positive effect on business performance in both the short and the long run. However, the sustained advantage in business performance from having a market orientation is greater for the firms that are early to develop a market orientation. These firms also gain more in sales and profit than firms that are late in developing a market orientation. Firms that adopt a market orientation may also realize additional benefit in the form of a lift in sales and profit due to a carryover effect. Market orientation should have a more pronounced effect on a firm's profit than sales because a market orientation focuses efforts on customer retention rather than on acquisition. Environmental turbulence and competitive intensity moderate the main effect of market orientation on business performance, but the moderating effects are greater in the 1990s than in the 2000s. © 2011, American Marketing Association.	10.1509/jmkg.75.1.16	https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952329478&doi=10.1509%2fjmkg.75.1.16&partnerID=40&md5=5be92872e1053348b7f83de735dd586a
König S.; Maier E.	KM_2024	The effect of green influencer message characteristics: Framing, construal, and timing	2024	Experiments	Yes	Psychology and Marketing	This research explores the characteristics of green influencer messages on follower engagement by examining the interplay between message framing (gain vs. loss), construal level (high vs. low), and post timing (weekdays vs. weekends). Green influencers (also: greenfluencers or sustainable influencers) are considered a key agent for a change to more sustainable consumption. A pilot field study of 1000 green influencers, however, indicates that the current communication practices of green influencers (which strongly focus on gain frames, low construal, and posts during the week) are not ideal for maximizing engagement and sustainable behavioral intentions. Two experiments replicate this finding and establish the process through which green influencer posts affect engagement: gain frames increase fluency, which increases engagement; low construal levels decrease psychological distance, which increases engagement. Timing moderates these processes in that weekend posts increase the engagement with gain frames and week posts increase the engagement with low-construal frames. These findings highlight that there is no silver bullet in green influencer messages, but that green influencers need to adapt the framing and construal of their messages to the posts' timing to increase their contribution to more sustainable lifestyles and the greater good. © 2024 The Authors. Psychology & Marketing published by Wiley Periodicals LLC.	10.1002/mar.22021	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193042190&doi=10.1002%2fmar.22021&partnerID=40&md5=3b67cf9f1ba92fac8ab140bc4f4d81b6
Liang J.; Guo L.	LG_2021	Gratitude and sustainable consumer behavior: A moderated mediation model of time discounting and connectedness to the future self	2021	Experiments	Yes	Psychology and Marketing	Previous studies have explored the relationship between positive emotions and individuals’ sustainable consumer behavior, but the results are inconsistent. Emotions with the same valence but different cognitive appraisals may have different effects on such behavior. Therefore, it is necessary to examine the effects of specific positive emotions on sustainable consumer behavior. Using a longitudinal survey and three experimental studies, this study tests the effect of gratitude on sustainable product choice and examines the underlying psychological mechanism. The results indicate that both trait and state gratitude increase individuals’ sustainable product choice. Furthermore, time discounting mediates the relationship between gratitude and sustainable product choice. Connectedness to the future self moderates the mediation process in the path from gratitude to sustainable product choice and in that from gratitude to time discounting. The findings enrich our understanding of the relationship between gratitude and sustainable product choice and provide marketers with tools to increase consumers’ sustainable product choice by incorporating a gratitude appeal into their marketing communications. © 2021 Wiley Periodicals LLC	10.1002/mar.21502	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106212200&doi=10.1002%2fmar.21502&partnerID=40&md5=ebbdeee89121bcb55d5fdee82ad0601c
Li S.Y.; Graul A.R.H.; Zhu J.J.	LGZ_2024	Investigating the disruptiveness of the sharing economy at the individual consumer level: How consumer reflexivity drives re-engagement in sharing	2024	Experiments	Yes	Journal of the Academy of Marketing Science	The sharing economy represents an emerging technology-enabled socioeconomic system. Given its disruptive nature, the sharing economy not only challenges traditional marketing theories but also alters consumer norms and beliefs related to consumption concepts. Whether, when, and how the sharing economy transforms consumption remain important questions for managers to investigate. This study examines how sharing experiences influence consumers’ critical self-reflection and shape their intentions to re-engage in sharing practices. With data collected from two surveys and four experiments (including three pretests and one main study), we show that consumers’ perceived economic utility, social value, and sustainability potential in the sharing economy influence their intentions to re-engage in sharing practices, thus forming a loyal customer base. In addition, consumer reflexivity mediates this effect. We also show that past experience with business-to-consumer sharing practices moderates the proposed mediating effect. Overall, we demonstrate the disruptive impact of the sharing economy on individual consumers with meaningful managerial implications and contributions to marketing theories. © 2023, Academy of Marketing Science.	10.1007/s11747-023-00926-6	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149728639&doi=10.1007%2fs11747-023-00926-6&partnerID=40&md5=1af4be3341a604dd44e3338a97539535
Leonidou C.N.; Katsikeas C.S.; Morgan N.A.	LKM_2013	"Greening" the marketing mix: Do firms do it and does it pay off?	2013	Field Survey	Yes	Journal of the Academy of Marketing Science	Growing concern about the sustainability of the natural environment is rapidly transforming the competitive landscape and forcing companies to explore the costs and benefits of "greening" their marketing mix. We develop and test a theoretical model that predicts (1) the role of green marketing programs in influencing firm performance, (2) the impact of slack resources and top management risk aversion on the deployment of such programs, and (3) the conditioning effects that underpin these relationships. Our analyses show that green marketing programs are being implemented by firms, and we find evidence of significant performance payoffs. Specifically the results indicate that green product and distribution programs positively affect firms' product-market performance, while green pricing and promotion practices are directly positively related to firms' return on assets. In addition, industry-level environmental reputation moderates the links between green marketing program components and firms' product-market and financial performance. Finally, we find that slack resources and top management risk aversion are independently conducive to the adoption of green marketing programs-but operate as substitutes for each other. © 2012 Academy of Marketing Science.	10.1007/s11747-012-0317-2	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874148541&doi=10.1007%2fs11747-012-0317-2&partnerID=40&md5=e97b0b4e9c897f9f17ffffb77d7e337b
Luchs M.G.; Naylor R.W.; Irwin J.R.; Raghunathan R.	LNIR_2010	The sustainability liability: Potential negative effects of ethicality on product preference	2010	Experiments	Yes	Journal of Marketing	Manufacturers are increasingly producing and promoting sustainable products (i.e., products that have a positive social and/or environmental impact). However, relatively little is known about how product sustainability affects consumers' preferences. The authors propose that sustainability may not always be an asset, even if most consumers care about social and environmental issues. The degree to which sustainability enhances preference depends on the type of benefit consumers most value for the product category in question. In this research, the authors demonstrate that consumers associate higher product ethicality with gentleness-related attributes and lower product ethicality with strength-related attributes. As a consequence of these associations, the positive effect of product sustainability on consumer preferences is reduced when strength-related attributes are valued, sometimes even resulting in preferences for less sustainable product alternatives (i.e., the "sustainability liability"). Conversely, when gentleness-related attributes are valued, sustainability enhances preference. In addition, the authors show that the potential negative impact of sustainability on product preferences can be attenuated using explicit cues about product strength. © 2010, American Marketing Association.	10.1509/jmkg.74.5.18	https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956708677&doi=10.1509%2fjmkg.74.5.18&partnerID=40&md5=d16d359c33d96c4546e6514d72f6b37d
Meyer J.-H.; Friederich F.; Matute J.; Schwarz M.	MFMS_2024	My money—My problem: How fear-of-missing-out appeals can hinder sustainable investment decisions	2024	Experiments	Yes	Psychology and Marketing	Cryptocurrencies (cryptos) have detrimental environmental effects due to their massive energy consumption. While several green crypto coins have been launched, the mainstream—environmentally unfriendly coins—still lead the market. In this study, we explore if influencer marketing, specifically fear-of-missing-out (FOMO) appeals, can contribute to promoting green crypto coin purchases to encourage sustainable investments. The results of five studies (two lab experiments using neurobiological sensors, two online experiments, and a discrete choice experiment) show that social media postings conveying FOMO appeals decrease (increase) green crypto (normal crypto) coin investments. The results further show that message congruence and emotional value perceptions mediate this effect. Finally, we demonstrate that the observed results hold when adding governance and regulatory crypto support as well as the crypto price path evolution to the choice. The results provide notable theoretical contributions and implications for policymakers concerned with fostering more sustainable consumption behavior in the crypto context. © 2024 The Author(s). Psychology & Marketing published by Wiley Periodicals LLC.	10.1002/mar.22077	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198739137&doi=10.1002%2fmar.22077&partnerID=40&md5=3675af6ae228d9d2fc2737b0760f0871
Melnyk V.; van Herpen E.; Fischer A.R.H.; van Trijp H.C.M.	MHFT_2013	Regulatory fit effects for injunctive versus descriptive social norms: Evidence from the promotion of sustainable products	2013	Experiments	Yes	Marketing Letters	Consumers face marketing messages using social norms in many situations where different goals are dominant. This research examines moderating effects of regulatory focus for descriptive and injunctive norms in the promotion of sustainable products. More specifically, it shows that descriptive norms have a better fit with a promotion than prevention focus, while this is not the case for injunctive norms. Three experiments examine consequences for perceived message fluency, attitudes, and behavioral intentions. Experiment 1 investigates regulatory focus when induced before a normative message, whereas Experiments 2 and 3 investigate regulatory elements ingrained in the message itself. Results show that messages with descriptive norms are perceived as more fluent and have a stronger impact on attitudes and intentions when promotion goals are salient than when prevention goals are salient. Unlike descriptive norms, injunctive norms are not affected by regulatory focus. Marketers using descriptive norms should develop message wording and context accordingly. © 2013 Springer Science+Business Media New York.	10.1007/s11002-013-9234-5	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876439448&doi=10.1007%2fs11002-013-9234-5&partnerID=40&md5=47087baea14b3bf01d7ccf9b13e9324d
Muncy J.A.; Iyer R.	MI_2020	The impact of the implicit theories of social optimism and social pessimism on macro attitudes towards consumption	2020	Survey	Yes	Psychology and Marketing	People have substantially differing attitudes towards consumption. Anti-consumers are negative towards consumption. In contrast, pro-consumers view consumption in a positive light. We posit that people's attitudes toward consumption at the societal (macro) level are impacted by the implicit theories they hold about whether society can solve the problems it faces. We identify two different implicit theories consumers hold regarding how solvable larger societal problems are. Social optimists believe that we will solve the problems that are emerging as we evolve at the societal level. In contrast, social pessimists believe that societal evolution is creating problems too large to be solved. We developed a macro attitudes model where social optimism and pessimism were posited to impact people's macro attitudes towards consumption. We present the results of a study that found that social optimists have more positive attitudes towards consumption and social pessimists have more negative attitudes towards consumption. We also found that this model provided a superior fit in comparison to three other plausible models relating implicit theories and attitudes towards consumption. These findings have implications for anti-consumption research, consumer research on implicit theories, and social marketing designed to address problems associated with overconsumption. © 2019 Wiley Periodicals, Inc.	10.1002/mar.21304	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075740098&doi=10.1002%2fmar.21304&partnerID=40&md5=143db67697ad7674018605b33e14e05b
Minton E.; Lee C.; Orth U.; Kim C.-H.; Kahle L.	MLOKK_2012	Sustainable marketing and social media	2012	Survey	Yes	Journal of Advertising	Increased spending and demand for sustainable advertising necessitates research to understand better how to encourage sustainable thought and behavior effectively, especially in the understudied areas of social media and cross-cultural research. This study, which includes respondents from the United States, Germany, and South Korea (total n = 1,018) who completed an online survey about usage of Facebook and Twitter, examines motives for sustainable behaviors. Kelman's (1958) functional motives, which correspond to the three major philosophies of psychology, were used as the theoretical foundation for this study. For all countries, involvement motives lead to recycling behaviors and green transportation use, but only for the United States and Germany do involvement motives lead to antimaterialistic views and organic food purchase. Collectivist South Korea has the highest level of social media involvement and of sustainable behaviors except in recycling, where Germany leads. Motives are complex, demanding careful analysis from advertisers who plan to deliver green advertisements over social media. © 2013 American Academy of Advertising.	10.1080/00913367.2012.10672458	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876725932&doi=10.1080%2f00913367.2012.10672458&partnerID=40&md5=3380f35e335648f75287ac37f71b3bd0
Mulcahy R.F.; McAndrew R.; Russell-Bennett R.; Iacobucci D.	MMRI_2021	“Game on!” Pushing consumer buttons to change sustainable behavior: a gamification field study	2021	Field Survey	Yes	European Journal of Marketing	Purpose: Marketers have begun to investigate the potential of gamification for influencing consumer behavior by using game design elements in realms varying from branding, retail, sales and health services. Marketers have also begun to explore consumer behavior in sustainability. This paper aims to provide contributions to build on both literatures. Design/methodology/approach: This research tests gamification principles in a large field study on real consumers that includes data from pre-post surveys, gamified app analytics and household energy meters. The data are analyzed using ANOVA’s and structural equation modeling. Findings: The findings demonstrate: gamification significantly enhanced consumers’ knowledge, attitudes, behavioral intentions and realized bill savings compared to a control group; reward-based game design elements including points, badges and other rewards contribute to enhancing sustainable behavior outcomes. Research limitations/implications: Future research in settings outside of sustainability may extend upon the findings of the current research to further understanding the impact of reward-based game design elements in marketing. Practical implications: The findings have important practical implications for how organizations might use serious games to promote sustainable and other desirable behavior. In particular, how reward-based game design elements, points, trophies and badges, can be used to create a chain of relationships that leads to reduced electricity consumption. Originality/value: This paper fulfills the need to understand if the impact of gamification extends outside of controlled environments and into the field. Further, it demonstrates how reward-based game design elements contribute to consumers changing their behavior, a relationship that is not yet thoroughly understood in the marketing literature. © 2021, Emerald Publishing Limited.	10.1108/EJM-05-2020-0341	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108138445&doi=10.1108%2fEJM-05-2020-0341&partnerID=40&md5=df446d7d2eafb3e5ad0af42a5c1fc4d2
Olson E.L.	O_2013	It's not easy being green: The effects of attribute tradeoffs on green product preference and choice	2013	Experiments	Yes	Journal of the Academy of Marketing Science	Despite widespread pro-green attitudes, consumers frequently purchase non-green alternatives. One possible explanation for this value-action gap is the tradeoffs that green products often force on their users: higher prices, lower quality, and/or reduced performance. The current study uses conjoint analysis to uncover the attribute preferences of car and TV buyers when green attributes are negatively correlated with conventional attributes. These attribute preferences are then used to predict choice among sets of green and less green alternatives currently sold in the marketplace. Strong preferences for green products are found when tradeoffs are not apparent, but preference shifts significantly to less green compromise alternatives when the actual attribute tradeoffs are considered. Although general preference is reduced by tradeoffs, a green product offering some compensatory advantage on a conventional attribute does attract a broader spectrum of consumers, while only "dark green" consumers are willing to pay the price to go green when the product offers few compensatory qualities. In all cases, however, predicted buyers of the greenest technologies offset some of their environmental benefits by choosing more energy-thirsty specifications on negatively correlated conventional attributes. Managerial and public policy implications of the findings are then discussed. © 2012 Academy of Marketing Science.	10.1007/s11747-012-0305-6	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874190075&doi=10.1007%2fs11747-012-0305-6&partnerID=40&md5=6878b035a17154cc19343935e0244558
Oh H.; Bae J.; Currim I.S.; Lim J.; Zhang Y.	OBCLZ_2016	Marketing spending, firm visibility, and asymmetric stock returns of corporate social responsibility strengths and concerns	2016	Field Survey	Yes	European Journal of Marketing	PurposeThis paper aims to focus on the unique goal of understanding how marketing spending, a proxy for firm visibility, moderates the effects of corporate social responsibility (CSR) strengths and concerns on stock returns in the short and long terms. In contrast to the resource-based view (RBV) of the firm, the visibility theory, based on stakeholder awareness and expectations, offers asymmetric predictions on the moderation effects of marketing spending. Design/methodology/approachThe predictions are tested based on data from KLD, Compustat and Center for Research in Security Prices from 2001-2010 and panel data based regression models. FindingsTwo results support the predictions of the visibility theory over those of the RBV. First, strengths are associated with higher stock returns, for low marketing spending firms, and only in the long term. Second, concerns are associated with lower stock returns, for high marketing spending firms, also only in the long term. A profiling analysis indicates that high marketing spending firms have high R&D spending and are more likely to operate in business-to-customer than business-to-business industries. Practical implicationsThe two findings highlight the importance of coordination among chief marketing, sustainability and finance officers investing in CSR and marketing for stock returns, contingent on the firm’s marketing and R&D spending and industry characteristics. Originality/valueThis paper identifies conditions under which CSR is and is not related to stock returns, by uniquely considering three variables omitted in most past studies: marketing spending, CSR strengths and concerns and short- and long-term stock returns, all in the same study. © 2016, © Emerald Group Publishing Limited.	10.1108/EJM-05-2015-0290	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977100893&doi=10.1108%2fEJM-05-2015-0290&partnerID=40&md5=4a6f9d5d0518aa140acee44438471e30
Pozharliev R.; De Angelis M.; Rossi D.; Bagozzi R.; Amatulli C.	PDRBA_2023	I might try it: Marketing actions to reduce consumer disgust toward insect-based food	2023	Experiments	Yes	Journal of Retailing	Despite the potential health- and sustainability-related benefits of insect-based food products, many consumers do not perceive them as an alternative to conventional foods. This research provides a systematic approach to explain consumer reactions to insect-based food products conducting a series of multi-method studies involving implicit, self-reported, and actual behavioral responses to real insect-based food products (provided by a partner company). The authors investigate how product type (i.e., whether the insect-based food is utilitarian or hedonic in nature) and packaging characteristics (i.e., whether the image of a real or stylized insect is present on the front packaging or not) interact with consumer-related characteristics (i.e., health consciousness and food neophobia) to affect feelings of disgust, which in turn influence willingness to try insect-based food products. A distinctive feature of this research is that a partner company used the findings to change its marketing tactics and observed an improvement in its market performance. Our research has clear implications for marketing managers trying to overcome consumer resistance to eating insect-based foods, as well as retail managers considering marketing such food products. © 2022 New York University	10.1016/j.jretai.2022.12.003	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146061676&doi=10.1016%2fj.jretai.2022.12.003&partnerID=40&md5=9c47656620d162a983bc6e3d9135fc29
Peter P.C.; Honea H.	PH_2012	Targeting social messages with emotions of change: The call for optimism	2012	Experiments	Yes	Journal of Public Policy and Marketing	With the goal to improve the effectiveness and impact of communication messages delivered by social marketers, this research focuses on understanding variables that may be relevant in developing effective social marketing messages for the substantive domain of disposable plastic bottled water consumption. The authors examine the affective states associated with different stages of consumer change related to wasteful repetitive consumption behavior (i.e., disposable plastic bottled water consumption). With two empirical studies, the authors identify guilt, hope, pride, and optimism as relevant triggers of increased intent to manage personal consumption in pursuit of a desirable social outcome (i.e., reduction of disposable plastic bottled water consumption). While guilt, hope, and pride are relevant self-referential emotions to initial stages of change (Study 1), optimism is a principal construct in motivating people to adopt and maintain the behavior over time (Study 2). These results have valuable theoretical and practical implications for social marketers and public policy makers. © 2012 American Marketing Association.	10.1509/jppm.11.098	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871246135&doi=10.1509%2fjppm.11.098&partnerID=40&md5=0fe1dbc068f4e458cdb165b2b5e865c0
Pichierri M.; Pino G.	PP_2023	Less saturated, more eco-friendly: Color saturation and consumer perception of product sustainability	2023	Experiments	Yes	Psychology and Marketing	Color saturation—the color's purity and intensity (also known as vividness)—is a visual feature that has been under-investigated in the context of green marketing. To advance knowledge of this topic, we performed five experimental studies to confirm that consumers tend to unconsciously associate low color saturation with a product's “gentler” impact on the environment. This perception of eco-friendliness, in turn, increases their trust in the product maker's greenness. Our research disentangles the direct and indirect impact (via consumers' perceptions of materials' naturalness, product authenticity, and product durability) of low-saturation colors on the perceived eco-friendliness of consumer products. Furthermore, the results reveal that, by fostering perceptions of eco-friendliness and green trust, such colors favorably influence consumers' behavioral intentions (i.e., their purchase intention and intention to pay a premium price for the product). Ultimately, the paper provides useful insights for companies and marketers interested in leveraging the meaning of color saturation to elicit perceptions of environmental compatibility. © 2023 Wiley Periodicals LLC.	10.1002/mar.21858	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161974483&doi=10.1002%2fmar.21858&partnerID=40&md5=485514c397e4358d646f0dbd38b6f285
Panzone L.A.; Tocco B.; Brečić R.; Gorton M.	PTBG_2024	Healthy foods, healthy sales? Cross-category effects of a loyalty program promoting sales of fruit and vegetables	2024	Field Survey	Yes	Journal of Retailing	Globally, consumption of Fruit and Vegetables (F&V) remains below nutritional guidelines. With retailers accounting for a large portion of F&V sales, marketing can be key to increase F&V consumption at household level. However, a key challenge is the design of strategies that benefit retailers, e.g., improving loyalty, whilst promoting societal goals. This study evaluates a points-plus-cash loyalty program where participants received points by purchasing selected F&V, redeemable against a reward (plush toys in the shape of F&V). We estimate the impact of the program by comparing expenditures in several categories before, during, and after the promotional period, across two different years, and comparing consumers who redeemed a reward and those who did not. We use loyalty card data from a Croatian retailer, containing food expenditure in five categories for 268,359 consumers, over 27 weeks for 2 years. We find that the loyalty program increased F&V expenditures at the focal retailer during the promotional period. However, the increase was only for reward-redeemers, for whom the program increased expenditures in F&V as well as in other food categories. This effect persisted – at a declining rate – after the program stopped. Exposure only had a limited effect during the campaign, leading to a reduction in expenditure after the promotional period. Results indicate that a loyalty program promoting sales of F&V can create win-win benefits to both society and the retailer: it increases expenditures on healthy foods (F&V), while improving overall loyalty (i.e., expenditures) to the retailer amongst motivated consumers. © 2023 The Author(s)	10.1016/j.jretai.2023.12.002	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182667282&doi=10.1016%2fj.jretai.2023.12.002&partnerID=40&md5=44d39d9327f54010bc109177db35fdc2
Peloza J.; White K.; Shang J.	PWS_2013	Good and guilt-free: The role of self-accountability in influencing preferences for products with ethical attributes	2013	Experiments	Yes	Journal of Marketing	The market share of brands positioned using ethical attributes typically lags behind brands that promote attributes related to product performance. Across four studies, the authors show that situational factors that heighten consumers' self-accountability (i.e., activation of their desire to live up to their self-standards) lead to increased preferences for products promoted through their ethical attributes. They investigate their predictions regarding selfaccountability in multiple ways, including examining the moderating roles of awareness of the discrepancy between a person's internal standards and actual behavior, self-accountability priming, and the presence of others in the decision context. Furthermore, they demonstrate that the subtle activation of self-accountability leads to more positive reactions to ethical appeals than explicit guilt appeals. Finally, they show that preference for a product promoted through ethical appeals is driven by the desire to avoid anticipated guilt, beyond the effects of impression management. Taken together, the results suggest that marketers positioning products through ethical attributes should subtly activate consumer self-accountability rather than using more explicit guilt appeals. © 2013, American Marketing Association.	10.1509/jm.11.0454	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873312842&doi=10.1509%2fjm.11.0454&partnerID=40&md5=7a246b69f1c7eaa3c02d8bdaf6311124
Reppmann M.; Harms S.; Edinger-Schons L.M.; Foege J.N.	RHEF_2024	Activating the sustainable consumer:The role of customer involvement in corporate sustainability	2024	Experiments	Yes	Journal of the Academy of Marketing Science	Tackling grand challenges and making sustainable development a reality through sustainable consumption crucially depends upon both companies’ activities as well as individuals’ consumption choices. In opinion polls, many consumers claim to favor sustainable products over conventional ones. However, a large gap remains between their stated purchasing intentions and actual decisions, posing a challenge for companies in predicting product demand and strategically managing their product portfolios. In this study, we develop a conceptual framework to demonstrate how companies can encourage sustainable consumption behavior among their customers by involving them in their corporate sustainability (CS) activities. We introduce psychological ownership as the underlying mechanism explaining how customer involvement in CS activities translates into changes in their consumption choices. We further argue that the link between customer involvement and psychological ownership depends on the type of a company’s CS—that is, whether CS is embedded in or peripheral to the company’s core business. The results from three experiments, including one field experiment conducted in collaboration with a fashion retailer and involving real customer purchase decisions, support our theorizing. The findings reveal the power of customer involvement as a marketing tool in promoting sustainable consumption. © The Author(s) 2024.	10.1007/s11747-024-01036-7	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199292459&doi=10.1007%2fs11747-024-01036-7&partnerID=40&md5=b0956a7d6fb2c360649b6da4ce58b893
M. Ross S.; Kapitan S.	RK_2018	Balancing self/collective-interest: equity theory for prosocial consumption	2018	Experiments	Yes	European Journal of Marketing	Purpose: This work aims to use equity theory to explore how consumers assess prosocial actions as part of a mental portfolio of purchases and behaviors in a broader marketplace, seeking balance in market exchanges. Conceptualizing marketing exchange as both an exchange of perceived value and a balance between self- and collective-interest allows for segmentation by consumer sensitivity to equity and sheds light on why prosocial consumption might occur. Design/methodology/approach: Two studies validate and segment consumers via their equity sensitivity. Between-subject designs with samples of consumers and marketing managers validate an equity sensitivity index that segments how people balance self- and collective-interests in marketplace exchange and predicts prosocial consumption choices. Findings: The results indicate that Entitled decision makers are more willing to exchange collective-interest for self-interest and emphasize choices that maximize lower prices for consumers or greater profits for firms in lieu of prosocial outcomes. Benevolent decision makers, however, are more willing to exchange self-interest for collective-interest and support prosocial outcomes. Originality/value: This work moves beyond research that focuses on attitudes, values and situational factors, instead using equity theory to uncover broader marketplace motivations for prosocial consumption. The research reveals that a motivating force behind prosocial consumption is how much consumers perceive they have given to, and gotten, from, the marketplace. Segmenting the market according to how consumers balance gains and losses provides an alternate approach to studying prosocial consumption, as well as a practical approach to developing targeted marketing strategies. © 2018, Emerald Publishing Limited.	10.1108/EJM-01-2017-0002	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044502644&doi=10.1108%2fEJM-01-2017-0002&partnerID=40&md5=816dc1e9b80562661668aaa2cd404e30
