Authors	Code	Title	Method	Decision	Year	Abstract	Source title	DOI	Overlap	Term	Link
Evers U.; Gruner R.L.; Sneddon J.; Lee J.A.	EGSL_2018	Exploring materialism and frugality in determining product end-use consumption behaviors	Survey	Yes	2018	Materialism is often blamed for consumers’ unsustainable consumption behaviors and its contribution to a growing “throwaway culture.” Conversely, frugal consumers are regarded as both restrained in their acquisition, and resourceful in their use and disposal of products. In this paper, the authors challenge and empirically test these prevailing beliefs. The authors focus on a much-neglected aspect of the consumption continuum: the disposal of products at the end-use of consumption, and how key consumer traits (i.e., materialism and frugality) influence behaviors at this stage. Specifically, the authors examined three creative end-use consumption behaviors with a sample of 398 US consumers. Results support the counter-intuitive notion that materialism, alongside frugality, has a positive impact on consumers’ sustainable consumption behaviors. The data suggest that materialistic consumers are prone to finding new and different uses for products and alternative methods of product disposal. The study’s results also support the notion that frugality interacts with materialism to increase intentions to find alternative methods of product disposal. The authors discuss the implications pertaining to their findings and pave the way for future research in sustainable consumption. © 2018 Wiley Periodicals, Inc.	Psychology and Marketing	10.1002/mar.21147	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053884422&doi=10.1002%2fmar.21147&partnerID=40&md5=0f1d8535b9aeaca4dc699ecd2cad8bce
Eastman J.K.; Iyer R.; Dekhili S.	EID_2021	Can luxury attitudes impact sustainability? The role of desire for unique products, culture, and brand self-congruence	Experiments	Yes	2021	This study examines the effect of value-expressive and social-adjustive luxury attitudes on sustainable behaviors, specifically ecologically conscious consumer behavior, and socially responsible consumer behavior. This study investigates the mediating effect of the desire for unique products on the relationship between value-expressive and social-adjustive attitudes and sustainable behaviors. The moderating roles of brand self-congruence and the cultural values of collectivism and masculinity on these relationships are also explored. The results offer support for the mediating role of the desire for unique products. Furthermore, the connection between the desire for unique products and ecologically conscious consumer behavior (but not socially responsible consumer behavior) is enhanced with the moderating cultural value of collectivism and the connection between the desire for unique products and socially responsible consumer behavior (but not ecologically conscious consumer behavior) is enhanced by the moderating factor of brand self-congruence. The findings help to explain the conflicting findings regarding luxury and sustainability. © 2021 Wiley Periodicals LLC	Psychology and Marketing	10.1002/mar.21546	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111898620&doi=10.1002%2fmar.21546&partnerID=40&md5=6ce4d5261e1412bd1d37a4369e48c181
Ek Styvén M.; Mariani M.M.	EM_2020	Understanding the intention to buy secondhand clothing on sharing economy platforms: The influence of sustainability, distance from the consumption system, and economic motivations	Survey	Yes	2020	Sharing economy (SE) platforms are increasingly providing an effective means of connecting providers and users of secondhand goods. While media seem to emphasize that the trend of selling/buying secondhand has been growing due to the consolidation and development of peer-to-peer (P2P) sharing platforms, a comprehensive identification of the antecedents of buying secondhand on SE platforms is virtually missing. This study addresses this gap by (a) identifying different sets of motivations and attitudes leading consumers to adopt SE platforms for secondhand buying and (b) testing a model on a sample of UK consumers in the context of P2P sharing platforms for secondhand clothing. This study reveals that there are three major antecedents of consumers' attitude towards buying secondhand clothes on P2P–SE platforms: perceived sustainability, economic motivations, and taking a distance from the consumption system. Perceived sustainability and economic motivations influence positively attitude toward buying secondhand, as well as motivations in the form of distance from the consumption system. Attitude toward buying secondhand is positively influenced also by distance from the system and, in turn, has a strong positive influence on behavioral intention to buy secondhand clothes. Moreover, past experience of buying secondhand online has a positive moderating effect on the relationship between perceived sustainability and distance from the consumption system. © 2020 Wiley Periodicals, Inc.	Psychology and Marketing	10.1002/mar.21334	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083633373&doi=10.1002%2fmar.21334&partnerID=40&md5=a24e1b131ca38b8819ccad7a06e77e13
Elmor L.; Ramos G.A.; Vieites Y.; Andretti B.; Andrade E.B.	ERVAA_2024	Environmental sustainability considerations (or lack thereof) in consumer decision making	Experiments	Yes	2024	Environmental sustainability is often depicted as an important attribute of consideration among consumers. Even if multiple barriers may prevent them from “walking the talk,” a common implicit assumption is that consumers think about sustainability but choose a less eco-friendly route once confronted with such obstacles (e.g., higher prices). Absent from the literature, however, is a systematic investigation of the extent to which sustainability thoughts even come to consumers’ minds. Across six studies using a diverse set of measurements (free and aided elicitation), time of purchase (past or contemporaneous), consumer contexts (online or brick-and-mortar settings), levels of consequentialism (hypothetical or incentive-compatible), and samples (Brazil, UK, and US; N=7,942), our research consistently demonstrates that most consumers neglect the products’ environmental impact when making purchase decisions of fast-moving consumer goods. Environmental sustainability considerations are low in absolute terms, relative to other attributes, and even compared to participants’ own injunctive norms. Cognitive accessibility and contextual salience help explain the phenomenon. Considerations increase among consumers with strong environmental goals (e.g., high on biospheric values), for products highly prototypical of the sustainability cause (e.g., plastic bags), and when consumers are prompted with sustainability cues prior to choice (e.g., eco-labels). Methodological, managerial, and policy implications are discussed, and a simple framework to promote environmental sustainability consideration is proposed. © 2024 The Authors	International Journal of Research in Marketing	10.1016/j.ijresmar.2024.08.003	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202472614&doi=10.1016%2fj.ijresmar.2024.08.003&partnerID=40&md5=db6b78c61e82748f56d4ef8ae4224d88
Edinger-Schons L.M.; Sipilä J.; Sen S.; Mende G.; Wieseke J.	ESSMW_2018	Are Two Reasons Better Than One? The Role of Appeal Type in Consumer Responses to Sustainable Products	Experiments	Yes	2018	In the face of the growing prevalence of multiple appeals to sustainable consumption in marketers’ sustainable product communications, we examine the efficacy, in terms of consumer reactions, of adding an extrinsic appeal (e.g., “Purchase this green product to save money!”) to an intrinsic appeal (e.g., “Purchase this green product to save the environment!”) based communication for a sustainable product. Three studies provide support for our basic assertion that, compared to an intrinsic appeal, joint appeals (i.e., an intrinsic and extrinsic appeal together) reduce consumer preference for sustainable products. As well, these studies demonstrate that this adverse effect of joint appeals is based on a lowering of consumers’ attributions of the company's sustainability efforts to intrinsic motives (e.g., to the company's genuine concern for the environment). Finally, not all consumers react adversely to joint appeals; relative to intrinsic appeals, such appeals increase, rather than decrease, the intrinsic attributions and sustainable product preferences for consumers with lower involvement with sustainable consumption. © 2018 Society for Consumer Psychology	Journal of Consumer Psychology	10.1002/jcpy.1032	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054195630&doi=10.1002%2fjcpy.1032&partnerID=40&md5=8c78d531686124fe2168af4f58eb08e2
Farmer A.; Breazeale M.; Stevens J.L.; Waites S.F.	FBSW_2017	Eat green, get lean: Promoting sustainability reduces consumption	Experiments	Yes	2017	Food overconsumption contributes greatly to health problems that affect a large portion of the population while also straining the earth's natural resources. Attempts by policy makers to encourage sustainable food practices often focus more on the role of producers and less on the role of consumers, even though a growing number of consumers are concerned about the sustainability of their food products. Yet consumers often fail to perceive any immediate, personal benefits from consuming sustainably; instead, they envision future societal-level benefits. Three studies capturing actual behavior-the consumption of food and beverages-provide evidence that food promoted as sustainable can produce individual consumer benefits through reduced consumption. Study 1 shows the effect ofsustainability in lessening consumption. Study 2 demonstrates how sustainability semantically primes a prosocial focus, which is the mechanism involved in the reduction of consumption. Study 3 then shows that this effect is enhanced for people with higher levels of self-control. © 2017, American Marketing Association.	Journal of Public Policy and Marketing	10.1509/jppm.16.087	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040166354&doi=10.1509%2fjppm.16.087&partnerID=40&md5=3056c9c0138732da59faed2b66ac24b5
Foscht T.; Lin Y.; Eisingerich A.B.	FLE_2018	Blinds up or down?: The influence of transparency, future orientation, and CSR on sustainable and responsible behavior	Experiments	Yes	2018	Purpose: This paper aims to explore how and when a business’ transparency leads to greater willingness to engage in sustainable and responsible consumption by consumers. Design/methodology/approach: Data were collected in two studies. Study 1 collected data from 219 consumers in a large shopping mall. Study 2 followed an experimental approach and used data from 327 participants. Findings: The current research contributes to theory by hypothesizing and demonstrating when transparency is associated with higher willingness for sustainable and responsible consumption. Critically, the positive benefits of transparency vary according to a business’ future orientation, corporate social responsibility (CSR) and levels of customer involvement. Practical implications: An important societal and practical implication of the current research is that business should not be expected to only focus on transparency in isolation but rather also needs to consider levels of perceived future orientation, CSR and levels of customer involvement to strengthen sustainable and responsible behavior effectively. Originality/value: This research builds on and extends current knowledge by exploring the key role of business’ transparency in influencing sustainable and responsible customer behavior and examines critical boundary conditions for the observed effects. © 2018, Emerald Publishing Limited.	European Journal of Marketing	10.1108/EJM-10-2016-0576	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043466590&doi=10.1108%2fEJM-10-2016-0576&partnerID=40&md5=ea98cb69a30f87ed9f8886f16255920a
Furchheim P.; Martin C.; Morhart F.	FMM_2020	Being green in a materialistic world: Consequences for subjective well-being	Experiments	Yes	2020	This paper explores the potential negative side-effects of the sustainability movement in societies with large segments of materialistic consumers. Across three studies, there is evidence that a conflict between materialistic and green value profiles can arise in consumers. When it arises, it seems to be related to diminished well-being. Study 1 shows that consumers with a higher value conflict (VC) experienced higher levels of stress. Consumers with higher degrees of stress then reported lower satisfaction with life. Study 2 reveals the underlying process by which this value conflict affects well-being. The results suggest that the value conflict is related to a reduced clarity of consumers’ self-concept (SCC), which in turn is related to increased levels of stress and a lower satisfaction with life. Results of Study 3 show that preference for consistency (PfC) serves as a boundary condition to this effect. The negative effect of VC on SCC is most pronounced among consumers high in PfC, while low PfC consumers seem to suffer less from the negative consequences of a conflict between green and materialistic values. Conceptual and public-policy implications of these results are discussed. © 2019 Wiley Periodicals, Inc.	Psychology and Marketing	10.1002/mar.21285	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074979516&doi=10.1002%2fmar.21285&partnerID=40&md5=57a9795e5f243ee9b5ef983a7075fac4
Gonzales G.E.; Berry C.; Meng M.D.; Leary R.B.	GBML_2023	Identifying and Addressing the “Health Halo” Surrounding Plant-Based Meat Alternatives in Limited-Information Environments	Experiments	Yes	2023	In limited-information environments like restaurants, consumers are forced to make health inferences by drawing from the menu or promotional materials or by using their intuition. Understanding such health inferences related to plant-based meat alternatives (PBMAs), which are available at a rapidly growing number of restaurants, is increasingly important. In addition to their clear environmental benefits, PBMAs are widely promoted as being healthier than traditional meat. Across five experiments, results illustrate that although some perceptions of PBMAs are aligned with reality (e.g., environmental friendliness), consumers greatly underestimate calories and nutrition (e.g., fat, sodium) relative to objective values. Additionally, consumers believe PBMAs are substantially healthier than, and decrease disease risk relative to, traditional meat, which is not always true. The currently accepted interventions of calorie labeling and nutrition information disclosure are not enough to attenuate this “health halo.” However, ensuring that consumers actively compare menu items realigns perceptions with reality. The health halo resulting from inferences formed with the limited information available at the point of purchase has numerous implications for public health, sustainable consumerism, and public policy decisions. © American Marketing Association 2023.	Journal of Public Policy and Marketing	10.1177/07439156221150919	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150514509&doi=10.1177%2f07439156221150919&partnerID=40&md5=5d2abab4f6897d88d32efeea84322eec
Gabel S.; Molitor D.; Spann M.	GMS_2024	Frontiers: The Effect of an Ad Ban on Retailer Sales: Insights from a Natural Experiment	Field Study	Yes	2024	Advertising bans typically target products that deceive consumers in ways that can threaten their physical and mental health. An alternative policy objective might seek environmental protection through a ban on print advertising. Such measures would profoundly affect grocery retailers relying on printed leaflets to communicate weekly promotions. We measure the causal effect of banning advertising on retail performance by studying a temporary advertising ban implemented in a German federal state during the COVID-19 pandemic. The ban resulted in the suspension of all print advertising by grocery retailers, and the exogenous variation in advertising created by this natural experiment serves as our identification strategy. We apply difference-in-differences regressions to data from a national grocery retailer and find that the ban resulted in a 6% sales decrease in the treated state compared with an adjacent state. GfK Household Panel data reveal no effect of the advertising ban on the market level but a negative impact on retailers offering and advertising weekly promotional product assortments. We study the sensitivity of these results to the COVID pandemic and find that neither changes in COVID-19 incidence, vaccination rates, nor customers’ mobility moderate the ad ban effect. The findings offer practical insights for regulators and retailers regarding the impact of ad bans and the value of advertising. © 2024 The Author(s).	Marketing Science	10.1287/mksc.2023.0019	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201053928&doi=10.1287%2fmksc.2023.0019&partnerID=40&md5=a296cc4c25d54e59fe551eb96af7df6e
Gleim M.R.; Smith J.S.; Andrews D.; Cronin J.J.	GSAC_2013	Against the Green: A Multi-method Examination of the Barriers to Green Consumption	Mixed Methods	Yes	2013	Knowledge regarding the barriers to green consumption is of increasing importance as retail organizations place greater emphasis on the environment in evaluating performance in adherence with the triple-bottom line approach. The objective of this research is to investigate individual barriers that affect consumers' evaluations of the green products found in retail outlets. The research presented utilizes a critical incident qualitative study and two quantitative studies to examine the factors associated with non-green purchase behaviors. In addition, findings from an experiment suggest that altering the number and form of informational product cues may overcome purchase barriers. These factors are discussed, as are the implications of the research for stakeholders of retail organizations. © 2012 .	Journal of Retailing	10.1016/j.jretai.2012.10.001	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873566642&doi=10.1016%2fj.jretai.2012.10.001&partnerID=40&md5=c8d24a73093bbb0fed1e3f546e8e2525
Gijsenberg M.J.; Verhoef P.C.	GV_2019	Moving Forward: The Role of Marketing in Fostering Public Transport Usage	Field Survey	Yes	2019	To reduce traffic congestion and air pollution, public policy makers often try to stimulate the use of public transport, as it is a more sustainable alternative to traveling by car. This study therefore investigates the impact of firm-initiated marketing actions and traveler satisfaction on monthly cumulative traveled distance of a Western European railway firm, as well as possible effects of this cumulative traveled distance on satisfaction. Analysis of time-series data on traveled distance, advertising, promotions, and satisfaction using a vector autoregressive model with exogenous variables that accounts for seasonality, trending behavior, and gasoline prices reveals positive effects of advertising and promotions. Advertising elasticities are considerably smaller than meta-analytic values of brand-advertising elasticities. Similarly, promotion elasticities are lower than those frequently reported in marketing. The authors find no effect of satisfaction on traveled distance; however, they do find a negative effect of traveled distance on satisfaction, which could be explained by capacity constraints. The authors conclude that firm-initiated marketing actions are useful and effective in fostering public transport usage. © American Marketing Association 2019.	Journal of Public Policy and Marketing	10.1177/0743915619846869	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070358144&doi=10.1177%2f0743915619846869&partnerID=40&md5=f3cce3d8133a9f30ac114dd6ef31fe72
Goedertier F.; Weijters B.; Van den Bergh J.; Schacht O.	GWBS_2024	What does sustainability mean in the minds of consumers? A multi-country panel study	Survey	Yes	2024	In developed countries, sustainability is increasingly an active agenda topic for businesses. Yet a view on what sustainability exactly means in the minds of consumers is missing. In response to this research opportunity, online panel respondents from seven advanced economies (France, UK, Germany, Belgium, Sweden, Netherlands, Australia, N = 5620) were surveyed in two cross-sectional waves. Factor analytical results show that consumers associate sustainability with three key subdimensions: ‘social equality’ (e.g., fair wages), ‘circularity’ (e.g., recycling) and ‘naturalness’ (e.g., avoiding use of pesticides and GMOs). This observation offers inspiration to update the traditional two-dimensional (social vs. environmental) structure of sustainability advanced in previous literature. In addition, the identified ‘naturalness’ dimension may point to a new route to stimulate pro-environmental behavior as it has both a strong link with the environment and may introduce an affective undertone. We discuss theoretical and managerial implications, and report observed country, gender, and age differences. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2023.	Marketing Letters	10.1007/s11002-023-09699-y	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174151422&doi=10.1007%2fs11002-023-09699-y&partnerID=40&md5=81f722077b37edbd911dca18f9babb33
Hinnosaar M.	H_2023	The Persistence of Healthy Behaviors in Food Purchasing	Field Study	Yes	2023	When a policy gives temporary incentives for healthy behaviors, how long does the impact last? The U.S. Special Supplemental Nutrition Program for Women, Infants, and Children gives food vouchers to young children and their mothers. Using household-level scanner data, I study the reform of the program that introduced vouchers for healthier products. The difference-in-differences analysis shows that the reform makes purchases healthier during the program participation in the product categories most targeted by the reform (bread and milk). However, the effect is not always persistent. For bread, the effect decreases significantly within a couple of years after participants exit the program. Demand model estimates imply that price differences between healthy and unhealthy products play a large role in decreasing the program’s impact. Therefore, some differences in the persistence can be explained by the relatively higher prices of healthy foods. Coun-terfactual analysis shows that a modest postprogram subsidy might be a sustainable way to lengthen the program’s impact and lead to long-term healthier purchases. © 2022 INFORMS.	Marketing Science	10.1287/mksc.2022.1396	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161406711&doi=10.1287%2fmksc.2022.1396&partnerID=40&md5=ebadeb86e3d2718f3f5c8c0ed279b3b8
Hussain K.; Junaid M.; Javed M.; Ali M.; Iqbal A.	HJJAI_2022	Consumer wisdom: a mindful connection between healthy food advertising and obesity prevention	Survey	Yes	2022	Purpose: This study aims to investigate the effect of healthy food advertising (HFA) in preventing obesity (measured using the healthy eating attitude and perceived self-regulatory success) through the meta-cognitive role of consumer wisdom (CW). The meta-cognitive role of CW to better promote healthy eating attitude and behavior is relevant and underexplored. Design/methodology/approach: Data were collected from 310 young consumers through an online survey. Reliability and validity were established using confirmatory factor analysis, and hypotheses were analyzed through structural equation modeling using MPlus V8.3. Findings: The results reveal that HFA has a positive influence on all dimensions of CW: responsibility, purpose, perspective, reasoning and sustainability. All dimensions but one augment a positive healthy eating attitude, but only responsibility and sustainability enhance consumers’ self-regulatory success. The findings show that HFA does not directly prevent obesity, but CW mediates the relationship between that advertising and obesity prevention. These findings show that CW establishes a mindful connection between HFA and obesity control. Research limitations/implications: This research extends the theory of CW in the context of healthful eating and contributes significantly to the advertising, hospitality and obesity literature. Practical implications: This study also has implications for multiple stakeholders, including consumers, restaurant operators, hospitality managers, brand managers, the government and society in general. Originality/value: To the best of the authors’ knowledge, this study marks the first attempt to investigate the role of CW in preventing obesity. It is also the first study to examine the relationships of HFA with CW and a healthful attitude toward eating. © 2022, Emerald Publishing Limited.	European Journal of Marketing	10.1108/EJM-08-2021-0645	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139261221&doi=10.1108%2fEJM-08-2021-0645&partnerID=40&md5=142a03da9877aa68a51f6e6393dcd535
Hensen N.; Keeling D.I.; de Ruyter K.; Wetzels M.; de Jong A.	HKRWJ_2016	Making SENS: exploring the antecedents and impact of store environmental stewardship climate	Field Survey	Yes	2016	Retailers increasingly recognize that environmental responsibility is a strategic imperative. However, little research has investigated or identified the factors that facilitate the successful implementation of environmentally responsible strategies across a network of customer-facing sales units (stores). We propose that a store manager’s ability to lead by example facilitates this process by fostering a supportive climate for store environmental stewardship (SENS-climate). By examining the influence of store managers’ actions on sales associates’ perceptions of the SENS-climate, as well as the subsequent impact on their performance—measured by margins, as well as sales of green and regular products—this study demonstrates that store managers can foster a SENS-climate by articulating their prioritization of environmental responsibility in their operational decisions. These positive effects are sustained by relational factors, such as the moderating effect of the store manager–sales associate dyadic tenure. In contrast, when store managers display high variability in their environmental orientation, it hinders the development of SENS-climate perceptions among sales associates. If sales associates perceive an enabling SENS-climate, they achieve higher margins and more green but fewer regular sales. © 2015, The Author(s).	Journal of the Academy of Marketing Science	10.1007/s11747-015-0446-5	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84931078979&doi=10.1007%2fs11747-015-0446-5&partnerID=40&md5=4fa7ee4e083bb4ef058f51dc10914e9f
Hassler C.M.K.; Mende M.; Scott M.L.; Bolton L.E.	HMSB_2024	The Prosocial Ambassador Effect: Adopting an Ambassador Role Increases Sustainable Behavior	Experiments	Yes	2024	This research introduces the prosocial ambassador effect as a novel means to elicit prosocial behavior. Consumers adopt a prosocial ambassador role when they personally commit to engage in a prosocial behavior and interpersonally promote (i.e., encourage another person to engage in) the prosocial behavior. Four experiments, including two studies in the field, investigate prosocial ambassadorship behaviors and their impact on the ambassadors’ subsequent prosocial behavior. Results reveal that the ambassador role activates a collective identity, which drives prosocial behavior. Findings also indicate that the ambassador effect endures over time. Furthermore, the ambassador effect replicates via product giveaways and communications (e.g., text messages). This research offers novel implications for marketers on the ambassador role's positive impact on prosociality, providing guidance to firms on how to leverage the ambassador effect in the marketplace. © American Marketing Association 2024.	Journal of Marketing	10.1177/00222429241265000	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201681832&doi=10.1177%2f00222429241265000&partnerID=40&md5=b8577fe4ea59f465e25eb38ee37955ac
Halberstadt J.; Niemand T.; Kraus S.; Rexhepi G.; Jones P.; Kailer N.	HNKRJK_2021	Social entrepreneurship orientation: Drivers of success for start-ups and established industrial firms	Field Survey	Yes	2021	Academic research into social entrepreneurship orientation (SEO) remains nascent, despite social entrepreneurship receiving increasing attention in both research and practice. This study of 308 industrial industry firms from Austria and Northern Macedonia contributes to closing these research gaps by investigating how SEO influences social entrepreneurial performance taking into account the performance consequences of heterogeneity in firms' characteristics demonstrated by start-ups and established firms using multi-group structural equation modeling and fsQCA as methods of comparison. Combining person-centered and variable-centered methods, this study contributes by exploring how SEO influences social entrepreneurial performance and considering firms' characteristics for both start-ups and established industrial firms. The study highlights key differences for start-ups and established firms. The development phase of a firm, thus, plays a key role when examining SEO dimensions. This study informs practices of individuals seeking to undertake a business start-up or owner/managers involved in the operation and management of established firms in a social entrepreneurship context. The findings will be of interest to the enterprise support community in tailoring funding and training support for social enterprises for both start-ups and established firms. © 2020 Elsevier Inc.	Industrial Marketing Management	10.1016/j.indmarman.2020.06.012	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087734068&doi=10.1016%2fj.indmarman.2020.06.012&partnerID=40&md5=a2128f0b09d9dc13fea6b93722e37d1c
He C.; Ozturk O.C.; Gu C.; Silva-Risso J.M.	HOGS_2021	The end of the express road for hybrid vehicles: Can governments’ green product incentives backfire?	Field Survey	Yes	2021	In response to growing environmental concerns, governments have promoted products that are less harmful to the environment—green products—through various incentives. We empirically study the impact of a commonly used nonmonetary incentive— namely, the single-occupancy permission to high-occupancy vehicle (HOV) lanes—on green and non-green product demand in the U.S. automobile industry. The HOV incentive could increase unit sales of green vehicles by enhancing their functional value through time saving. On the other hand, the incentive may prove counterproductive if it reduces the symbolic value (i.e., signaling a proenvironmental image) consumers derive from green vehicles. Assessing the effectiveness of green-product incentives is challenging, given the endogenous nature of governments’ incentive provisions. To identify the effect of the HOV incentive on unit sales of green and non-green vehicles, we take advantage of HOV-incentive changes in two states, and we employ a multitude of quasi-experimental methods using a data set at the county–model–month level. Unlike previous studies that only examine the launch of the HOV incentive and find an insignificant association be-tween incentive launch and green-vehicle demand, we concentrate on its termination. We find that the termination of the HOV incentive decreases unit sales of vehicles covered by the incentive by 14.4%. We provide suggestive evidence that this significant negative effect of HOV-incentive termination is due to the elimination of the functional value the incentive provides: time saving. Specifically, we find that the negative effect is more pronounced in counties where consumers value time saving more (i.e., counties with a longer commute to work and higher income). Additionally, in line with prior literature, the launch of the HOV incentive is not found to have a significant effect on green-vehicle sales. Combined, our findings reveal that the effect of termination is not simply the opposite of that of launch, implying that governments’ green-product incentives could backfire. © 2020 INFORMS.	Marketing Science	10.1287/mksc.2020.1239	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100600585&doi=10.1287%2fmksc.2020.1239&partnerID=40&md5=a201a8aa948eed0692f21bdb09c5844b
Huang B.; Suri A.; Tezer A.; Sénécal S.	HSTS_2024	This is not mine anymore: The dark side of collaborative consumption	Experiments	Yes	2024	Extant research on collaborative consumption in the sharing economy generally focuses on consumers (those who consume such services) while overlooking an important actor: the peer service providers (those who provide these services by sharing their resources with other consumers). Through four studies, we show a potential detrimental side effect of collaborative consumption. Specifically, our results suggest that for peer service providers, sharing their assets leads to a greater perceived loss of psychological ownership of these assets. This phenomenon thus results in a potentially unsustainable outcome: faster disposal of the shared assets. The authors further show that this effect disappears when the asset is shared with in-group (vs. out-group) members. Lastly, the authors offer a practical and easily implementable solution that could avert this potentially detrimental phenomenon: To encourage service providers to personalize their assets, which restores their perceived psychological ownership. Together, these results advance the literature on the dark side of collaborative consumption and offer managerial insights into mitigating strategies. © 2024 The Author(s)	International Journal of Research in Marketing	10.1016/j.ijresmar.2024.05.002	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195303771&doi=10.1016%2fj.ijresmar.2024.05.002&partnerID=40&md5=691ed6558660f5469ead61c3e63205b4
Huang F.; Wong V.C.	HW_2024	From Second-Hand to Third-Hand: Reuse and Resale Cycle	Experiments	Yes	2024	The promotion of reuse and resale has been receiving extensive attention worldwide for the sake of sustainability. The current research provides insights into this area and identifies a “reuse and resale cycle,” whereby consumers are more willing to resell products they originally obtained second hand, compared to products they obtained brand new. One potential mechanism that accounts for this effect is the relatively weak connection consumers form with the second-hand items they own. Six studies confirmed this effect across various product categories. Study 1 tracked consumers’ actual resale of the possessions they owned in real life. Subsequent studies provided further empirical evidence for the proposed effect, uncovered the underlying mechanism concerning the strength of the connection with the product, and showed that the effect diminished among consumers who chronically have a high tendency to link themselves with their possessions. This research advances the understanding of resale behaviors. It has implications for consumers to avoid retaining excessive possessions and for the second-hand market to develop in a healthy manner, eventually contributing to society’s sustainability in the long run. © The Author(s) 2024.	Journal of Consumer Research	10.1093/jcr/ucad042	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193453317&doi=10.1093%2fjcr%2fucad042&partnerID=40&md5=66f9b13b046fc5d53a16a8550ef238e9
Inigo E.A.; Ritala P.; Albareda L.	IRA_2020	Networking for sustainability: Alliance capabilities and sustainability-oriented innovation	Field Survey	Yes	2020	Research on open innovation and sustainability suggests that alliances with external stakeholders help to improve innovation outcomes. This paper taps into the intersection of these literatures and investigates how alliance proactiveness and alliance portfolio coordination affect firms' sustainability-oriented innovation (SOI) outcomes. Data were collected from 170 firms in the Basque Country region in Spain, which has a highly collaborative regional innovation system. Partial least squares (PLS) modeling confirmed that alliance proactiveness is positively related to radical SOI, while alliance portfolio coordination is positively related to incremental SOI. In addition, these two capabilities involve a positive interaction effect in the case of radical SOI. An additional set of post hoc tests using latent class analysis (FIMIX-PLS) provided further evidence that firms with different internal features and levels of environmental turbulence benefit to varying extents from these capabilities and their interactions. Overall, the findings of this study show the benefits of the coupled mode of open innovation and alliance capabilities in reaching positive outcomes in SOI. On the one hand, companies focusing on incremental SOI can reap greater benefits from open innovation when collaborating within their existing portfolio; while for radical SOI, alliance proactiveness is beneficial for finding disruptive partners. © 2019 Elsevier Inc.	Industrial Marketing Management	10.1016/j.indmarman.2019.06.010	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089430856&doi=10.1016%2fj.indmarman.2019.06.010&partnerID=40&md5=038541123da3a0093cf4ad7d9a2042fe
Juan Y.-K.; Hsu Y.-H.; Xie X.	JHX_2017	Identifying customer behavioral factors and price premiums of green building purchasing	Experiments	Yes	2017	In recent years, global urbanization and overdevelopment have resulted in environmental degradation and an energy crisis. Promoting green buildings is among the most effective methods for achieving environmental sustainability. Although the initial costs of green buildings are higher than those of ordinary buildings, people perceive that the environmental benefits of green buildings justify their higher price premiums. From a developer's perspective, devising optimal pricing strategies according to customer-perceived prices and developers’ expected profit is complex and difficult. Hence, in this study, we developed a framework based on the Howard–Sheth model of consumer behavior to identify behavioral factors that may affect consumer purchases of green buildings. An artificial neural network (ANN) was then used to develop a pricing model for predicting the price premiums of green buildings. The results revealed that the ANN model's overall prediction capability was 94%; the model's robustness was demonstrated by comparing the results produced using the model with those produced using a multiple regression analysis. In addition, the characteristics of consumers who were willing to accept higher price premiums for green buildings were identified and discussed. The proposed model can be applied as an effective decision-support tool for green building pricing and formulating marketing strategies. © 2017 Elsevier Inc.	Industrial Marketing Management	10.1016/j.indmarman.2017.03.004	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015617751&doi=10.1016%2fj.indmarman.2017.03.004&partnerID=40&md5=0965ea471975586fb2a66793cc188170
